breathing_rate,heart_rate,movement,state
9,60,8,meditation
11,61,10,relaxed
10,69,9,relaxed
25,129,84,stressed
24,100,60,stressed
30,110,90,stressed
27,123,79,stressed
20,104,78,stressed
27,110,58,stressed
9,56,9,meditation
14,69,5,relaxed
6,58,10,meditation
11,70,9,relaxed
10,59,0,meditation
30,92,87,stressed
13,63,10,relaxed
14,68,14,relaxed
27,95,89,stressed
30,98,67,stressed
7,52,5,meditation
8,52,8,meditation
12,74,13,relaxed
12,74,19,relaxed
26,122,83,stressed
29,118,55,stressed
9,58,10,meditation
8,50,0,meditation
16,75,11,relaxed
7,52,1,meditation
8,63,6,meditation
24,100,76,stressed
26,121,61,stressed
24,96,43,stressed
20,97,84,stressed
28,95,41,stressed
29,122,73,stressed
25,126,56,stressed
27,125,56,stressed
24,98,49,stressed
10,60,20,relaxed
16,68,14,relaxed
30,123,54,stressed
10,58,2,meditation
10,51,0,meditation
21,98,75,stressed
24,127,72,stressed
8,65,6,meditation
7,51,9,meditation
15,61,8,relaxed
14,70,11,relaxed
16,70,20,relaxed
13,69,13,relaxed
6,59,3,meditation
14,66,9,relaxed
26,122,64,stressed
28,108,43,stressed
23,116,44,stressed
7,65,0,meditation
13,69,14,relaxed
13,75,12,relaxed
8,59,7,meditation
7,52,3,meditation
14,71,8,relaxed
26,125,87,stressed
23,101,73,stressed
30,100,86,stressed
16,68,8,relaxed
21,125,79,stressed
16,66,8,relaxed
10,57,10,meditation
23,98,69,stressed
10,67,11,relaxed
10,50,7,meditation
9,52,0,meditation
6,55,2,meditation
15,69,9,relaxed
22,123,82,stressed
30,104,72,stressed
11,65,7,relaxed
16,74,19,relaxed
15,72,19,relaxed
6,58,3,meditation
11,62,13,relaxed
8,61,10,meditation
16,71,11,relaxed
29,96,61,stressed
29,93,81,stressed
8,54,0,meditation
14,61,19,relaxed
16,74,5,relaxed
6,50,9,meditation
10,64,9,meditation
26,114,51,stressed
25,120,69,stressed
16,75,17,relaxed
13,63,7,relaxed
16,61,16,relaxed
10,62,17,relaxed
7,61,5,meditation
6,53,4,meditation
10,54,9,meditation
24,98,70,stressed
14,61,10,relaxed
8,61,7,meditation
9,63,1,meditation
23,98,62,stressed
6,51,7,meditation
10,61,9,meditation
25,109,83,stressed
21,117,77,stressed
10,60,9,meditation
10,73,17,relaxed
10,54,7,meditation
14,68,6,relaxed
8,55,3,meditation
13,74,7,relaxed
9,64,6,meditation
29,125,62,stressed
6,63,3,meditation
30,108,86,stressed
22,119,50,stressed
6,50,8,meditation
8,55,10,meditation
10,62,5,relaxed
14,69,20,relaxed
28,103,46,stressed
21,129,85,stressed
23,121,56,stressed
8,61,7,meditation
12,70,8,relaxed
23,129,48,stressed
9,51,6,meditation
6,53,7,meditation
13,72,19,relaxed
14,60,15,relaxed
29,128,80,stressed
14,64,16,relaxed
10,63,18,relaxed
23,105,76,stressed
14,65,5,relaxed
25,112,58,stressed
11,67,18,relaxed
22,101,90,stressed
13,73,15,relaxed
16,65,6,relaxed
8,62,8,meditation
22,103,46,stressed
7,53,7,meditation
14,70,14,relaxed
26,99,53,stressed
7,56,3,meditation
23,110,69,stressed
13,61,14,relaxed
9,52,10,meditation
14,66,5,relaxed
10,67,14,relaxed
24,108,79,stressed
24,123,84,stressed
7,63,8,meditation
16,68,19,relaxed
10,66,6,relaxed
12,71,12,relaxed
16,63,16,relaxed
8,58,5,meditation
6,64,8,meditation
10,56,1,meditation
29,128,44,stressed
13,66,6,relaxed
8,59,9,meditation
15,74,15,relaxed
9,53,3,meditation
12,75,14,relaxed
11,65,6,relaxed
29,96,82,stressed
15,61,10,relaxed
30,116,89,stressed
30,125,86,stressed
22,124,74,stressed
10,74,20,relaxed
8,53,3,meditation
27,100,70,stressed
23,104,85,stressed
11,62,13,relaxed
11,67,8,relaxed
15,71,18,relaxed
8,50,0,meditation
12,64,11,relaxed
30,115,67,stressed
6,58,6,meditation
22,97,86,stressed
9,62,10,meditation
10,69,10,relaxed
14,71,12,relaxed
8,61,5,meditation
10,64,20,relaxed
20,99,56,stressed
25,98,59,stressed
22,105,54,stressed
23,117,89,stressed
10,62,8,meditation
